bill_id,status,cong,cosponsors,majority,republican,independent
103_hr3814,0,103,38.0,0.0,1,0
103_hr3820,0,103,238.0,0.0,1,0
103_hr3821,0,103,19.0,1.0,0,0
103_hr3823,0,103,2.0,1.0,0,0
103_hr3835,0,103,59.0,0.0,1,0
103_hr3843,0,103,15.0,1.0,0,0
103_hr3844,0,103,10.0,1.0,0,0
103_hr3845,0,103,17.0,1.0,0,0
103_hr3853,0,103,5.0,1.0,0,0
103_hr3865,0,103,1.0,0.0,1,0
103_hr3873,0,103,42.0,1.0,0,0
103_hr3874,0,103,0.0,0.0,1,0
103_hr3875,0,103,165.0,1.0,0,0
103_hr3877,0,103,1.0,1.0,0,0
103_hr3878,0,103,15.0,1.0,0,0
103_hr3885,0,103,40.0,1.0,0,0
103_hr3894,0,103,1.0,0.0,1,0
103_hr3897,0,103,17.0,1.0,0,0
103_hr3898,0,103,10.0,1.0,0,0
103_hr3899,0,103,2.0,1.0,0,0
103_hr3912,0,103,14.0,0.0,1,0
103_hr3919,0,103,0.0,0.0,1,0
103_hr3930,0,103,2.0,0.0,1,0
